#format table ## [Custom WaveView] saved 17:43:25 Mon Sep 28 2020
#logic 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 
 TIME 0x|0|v(sen_fout_col_p<0>)-0|v(sen_fout_col_n<0>) 0x|0|v(sen_fout_col_p<1>)-0|v(sen_fout_col_n<1>) 0x|0|v(sen_fout_col_p<2>)-0|v(sen_fout_col_n<2>) 0x|0|v(sen_fout_col_p<3>)-0|v(sen_fout_col_n<3>) 0x|0|v(sen_fout_col_p<4>)-0|v(sen_fout_col_n<4>) 0x|0|v(sen_fout_col_p<5>)-0|v(sen_fout_col_n<5>) 0x|0|v(sen_fout_col_p<6>)-0|v(sen_fout_col_n<6>) 0x|0|v(sen_fout_col_p<7>)-0|v(sen_fout_col_n<7>) 0x|0|v(sen_fout_row_p<0>)-0|v(sen_fout_row_n<0>) 0x|0|v(sen_fout_row_p<1>)-0|v(sen_fout_row_n<1>) 0x|0|v(sen_fout_row_p<2>)-0|v(sen_fout_row_n<2>) 0x|0|v(sen_fout_row_p<3>)-0|v(sen_fout_row_n<3>) 0x|0|v(sen_fout_row_p<4>)-0|v(sen_fout_row_n<4>) 0x|0|v(sen_fout_row_p<5>)-0|v(sen_fout_row_n<5>) 0x|0|v(sen_fout_row_p<6>)-0|v(sen_fout_row_n<6>) 0x|0|v(sen_fout_row_p<7>)-0|v(sen_fout_row_n<7>) 

* TIME       C0  C1  C2  C3  C4  C5  C6  C7  R0  R1  R2  R3  R4  R5  R6  R7
 1.10250E-04 800 801 730 801 7FF 7FE 7FF 7FE 805 806 80B 832 82E 7C9 7EF 7F8 
 1.10500E-04 801 801 72B 801 7FE 7FE 7FE 7FE 805 807 80E 83A 815 7C0 7ED 7F7 
 1.10750E-04 801 801 727 801 7FE 7FE 7FE 7FE 805 807 810 842 7FA 7B8 7EA 7F8 
 1.11000E-04 801 801 723 801 7FE 7FE 7FE 7FE 804 807 812 849 7E0 7B1 7E9 7F8 
 1.11250E-04 801 801 71E 801 7FE 7FE 7FE 7FE 804 807 814 84F 7C6 7AB 7E8 7F9 
 1.11500E-04 801 800 71B 800 7FE 7FF 7FE 7FE 804 806 814 852 7B1 7A8 7E8 7FA 
 1.11750E-04 801 800 717 800 7FE 7FF 7FE 7FF 803 806 814 855 79D 7A6 7E9 7FB 
 1.12000E-04 801 800 714 800 7FE 7FF 7FE 7FF 802 805 814 857 789 7A3 7EA 7FC 
 1.12250E-04 801 800 711 7FF 7FE 800 7FE 7FF 802 804 814 858 779 7A3 7EB 7FE 
 1.12500E-04 801 7FF 70E 7FF 7FE 800 7FE 800 801 803 812 854 776 7A7 7EE 7FF 
 1.12750E-04 801 7FF 70C 7FF 7FE 800 7FE 800 800 801 80F 850 773 7AC 7F1 800 
 1.13000E-04 800 7FF 70A 7FF 7FE 800 7FF 800 800 800 80D 84C 770 7B1 7F4 802 
 1.13250E-04 800 7FF 707 7FE 7FF 801 7FF 800 7FF 7FF 80B 849 76D 7B5 7F6 803 
 1.13500E-04 800 7FE 705 7FE 7FF 801 7FF 800 7FE 7FD 809 845 76A 7BA 7F9 805 
 1.13750E-04 800 7FE 703 7FE 7FF 801 7FF 801 7FE 7FC 806 841 767 7BF 7FC 806 
 1.14000E-04 800 7FE 702 7FE 7FF 801 7FF 801 7FD 7FB 803 839 774 7C8 800 807 
 1.14250E-04 7FF 7FE 701 7FE 7FF 801 800 801 7FD 7FA 800 830 784 7D1 803 808 
 1.14500E-04 7FF 7FE 700 7FE 800 801 800 801 7FC 7F9 7FD 827 794 7DB 807 809 
 1.14750E-04 7FF 7FE 6FF 7FE 800 801 800 801 7FC 7F8 7FA 81E 7A4 7E5 80A 809 
 1.15000E-04 7FF 7FE 6FE 7FE 800 801 800 801 7FB 7F6 7F6 816 7B4 7EF 80E 80A 
 1.15250E-04 7FE 7FE 6FD 7FE 801 801 801 801 7FB 7F6 7F3 80B 7CD 7F9 811 80A 
 1.15500E-04 7FE 7FE 6FD 7FE 801 801 801 801 7FB 7F5 7F0 801 7E7 804 813 80A 
 1.15750E-04 7FE 7FE 6FE 7FE 801 801 801 801 7FB 7F5 7EE 7F8 803 80E 816 80A 
 1.16000E-04 7FE 7FE 6FE 7FE 801 801 801 801 7FC 7F5 7EC 7EF 81E 817 817 80A 
 1.16250E-04 7FE 7FE 6FF 7FE 801 801 801 801 7FC 7F5 7EB 7E7 838 81F 818 809 
 1.16500E-04 7FE 7FF 6FF 7FF 801 800 801 800 7FC 7F5 7EA 7E0 850 827 818 808 
 1.16750E-04 7FE 7FF 701 7FF 801 800 801 800 7FD 7F6 7EA 7DD 862 82A 817 807 
 1.17000E-04 7FE 7FF 702 7FF 801 800 801 800 7FE 7F6 7EB 7D9 874 82E 816 805 
 1.17250E-04 7FE 7FF 703 800 801 800 801 800 7FE 7F7 7EB 7D5 887 831 814 804 
 1.17500E-04 7FE 800 705 800 801 7FF 801 7FF 7FF 7F8 7EC 7D3 894 833 813 803 
 1.17750E-04 7FE 800 707 800 801 7FF 801 7FF 800 7FA 7EF 7D6 893 830 80F 801 
 1.18000E-04 7FE 800 709 800 801 7FF 801 7FF 800 7FB 7F1 7D8 892 82C 80C 800 
 1.18250E-04 7FF 800 70B 801 801 7FF 800 7FF 801 7FC 7F4 7DB 890 829 809 7FF 
 1.18500E-04 7FF 801 70E 801 800 7FE 800 7FF 801 7FD 7F7 7DE 88F 826 806 7FD 
 1.18750E-04 7FF 801 710 801 800 7FE 800 7FE 802 7FF 7F9 7E0 88E 822 803 7FC 
 1.19000E-04 7FF 801 712 801 800 7FE 800 7FE 803 800 7FC 7E3 88D 81F 7FF 7FA 
 1.19250E-04 7FF 801 714 801 800 7FE 800 7FE 803 801 7FE 7E6 88B 81B 7FC 7F9 
 1.19500E-04 800 801 717 801 800 7FE 7FF 7FE 804 803 802 7ED 878 814 7F9 7F8 
 1.19750E-04 800 801 71A 801 7FF 7FE 7FF 7FE 804 804 805 7F4 866 80C 7F5 7F7 
 1.20000E-04 800 801 71C 801 7FF 7FE 7FF 7FE 804 805 809 7FB 854 804 7F1 7F7 
 1.20250E-04 800 801 71F 801 7FF 7FE 7FF 7FE 804 806 80C 802 83B 7FC 7EE 7F6 
 1.20500E-04 801 801 722 801 7FE 7FE 7FE 7FE 804 807 80F 80A 821 7F3 7EC 7F6 
